tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	1.0	5.0	19.0	34.0	11.0	13.0	0.0	83.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Bauldia	32.0	14.0	15.0	6.0	11.0	4.0	0.0	82.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Stellaceae;Stella	16.0	7.0	29.0	20.0	9.0	1.0	0.0	82.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella	12.0	7.0	17.0	0.0	28.0	17.0	0.0	81.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Dongiaceae;Dongia	27.0	14.0	25.0	0.0	14.0	0.0	0.0	80.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Roseiarcaceae;Roseiarcus	0.0	3.0	1.0	67.0	0.0	7.0	0.0	78.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Arenimonas	11.0	30.0	31.0	0.0	5.0	0.0	0.0	77.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidibrevibacterium	5.0	10.0	15.0	34.0	8.0	4.0	0.0	76.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas	23.0	22.0	16.0	4.0	7.0	4.0	0.0	76.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Amaricoccus	11.0	14.0	14.0	0.0	28.0	5.0	0.0	72.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Byssovorax	5.0	8.0	34.0	4.0	6.0	15.0	0.0	72.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma	15.0	12.0	13.0	0.0	25.0	5.0	0.0	70.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Pseudaquabacterium	10.0	14.0	7.0	4.0	17.0	17.0	0.0	69.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella	2.0	6.0	17.0	3.0	26.0	14.0	0.0	68.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ginsengibacter	14.0	11.0	18.0	0.0	17.0	8.0	0.0	68.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Nostoc	0.0	0.0	0.0	1.0	16.0	48.0	0.0	65.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Dongiaceae;Hypericibacter	7.0	5.0	13.0	19.0	11.0	9.0	0.0	64.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium	3.0	5.0	40.0	0.0	13.0	3.0	0.0	64.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	0.0	0.0	0.0	0.0	0.0	0.0	63.0	63.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus	10.0	10.0	16.0	2.0	14.0	11.0	0.0	63.0
Bacteria;Bacillati;Armatimonadota;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas	6.0	3.0	14.0	6.0	10.0	23.0	0.0	62.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Lederbergia	0.0	0.0	0.0	58.0	1.0	2.0	0.0	61.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera	14.0	20.0	12.0	2.0	9.0	4.0	0.0	61.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Methylibium	13.0	9.0	13.0	0.0	12.0	13.0	0.0	60.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	9.0	13.0	12.0	2.0	7.0	16.0	0.0	59.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisphaera	3.0	5.0	5.0	42.0	1.0	2.0	0.0	58.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Lysobacter	2.0	11.0	0.0	0.0	26.0	19.0	0.0	58.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas	8.0	19.0	6.0	0.0	11.0	9.0	0.0	53.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Labrys	8.0	3.0	13.0	4.0	15.0	10.0	0.0	53.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Ferritrophicales;Ferritrophicaceae;Ferritrophicum	5.0	10.0	12.0	3.0	18.0	4.0	0.0	52.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Peribacillus	0.0	3.0	4.0	1.0	24.0	19.0	0.0	51.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles	6.0	13.0	2.0	0.0	3.0	25.0	0.0	49.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Chroococcidiopsidaceae;Chroococcidiopsis	0.0	0.0	0.0	0.0	6.0	43.0	0.0	49.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Arenimicrobium	14.0	4.0	5.0	0.0	20.0	4.0	0.0	47.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Caulifigura	6.0	12.0	5.0	0.0	14.0	10.0	0.0	47.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax	13.0	11.0	10.0	8.0	3.0	2.0	0.0	47.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter	0.0	0.0	13.0	33.0	0.0	1.0	0.0	47.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae;Arboricoccus	7.0	5.0	11.0	0.0	10.0	12.0	0.0	45.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Povalibacter	13.0	10.0	12.0	3.0	5.0	2.0	0.0	45.0
Bacteria;Bacillati;Candidatus Melainabacteria;Vampirovibriophyceae;Vampirovibrionales;Vampirovibrionales_Incertae_sedis;Vampirovibrio	6.0	2.0	8.0	1.0	20.0	7.0	0.0	44.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Haliangiales;Kofleriaceae;Kofleria	8.0	9.0	10.0	8.0	6.0	2.0	0.0	43.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoluteimonas	3.0	26.0	4.0	0.0	6.0	3.0	0.0	42.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter	6.0	12.0	12.0	1.0	9.0	2.0	0.0	42.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Tolypothrichaceae;Dactylothamnos	0.0	0.0	0.0	0.0	22.0	20.0	0.0	42.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rudaea	5.0	17.0	8.0	4.0	0.0	7.0	0.0	41.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Variibacter	3.0	10.0	14.0	0.0	7.0	7.0	0.0	41.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Ideonella	0.0	12.0	12.0	5.0	8.0	4.0	0.0	41.0
Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium	3.0	0.0	4.0	0.0	24.0	10.0	0.0	41.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aestuariivirgaceae;Aestuariivirga	2.0	11.0	16.0	0.0	8.0	4.0	0.0	41.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Nordella	6.0	13.0	15.0	0.0	6.0	1.0	0.0	41.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Afifellaceae;Afifella	11.0	7.0	11.0	0.0	10.0	1.0	0.0	40.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Beijerinckia	0.0	3.0	2.0	21.0	5.0	9.0	0.0	40.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	1.0	0.0	1.0	9.0	12.0	17.0	0.0	40.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola	10.0	12.0	14.0	0.0	4.0	0.0	0.0	40.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Tautonia	3.0	6.0	4.0	6.0	11.0	9.0	0.0	39.0
Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter	2.0	3.0	13.0	7.0	6.0	8.0	0.0	39.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus	0.0	0.0	5.0	13.0	0.0	20.0	0.0	38.0
Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexus	3.0	4.0	7.0	0.0	16.0	8.0	0.0	38.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Cognatiluteimonas	4.0	10.0	5.0	0.0	14.0	5.0	0.0	38.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Opitutus	5.0	4.0	10.0	2.0	1.0	15.0	0.0	37.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Aquincola	5.0	8.0	5.0	0.0	6.0	12.0	0.0	36.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Psychrobacillus	2.0	2.0	2.0	1.0	13.0	16.0	0.0	36.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Sandaracinaceae;Sandaracinus	3.0	7.0	12.0	2.0	7.0	3.0	0.0	34.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Alsobacteraceae;Alsobacter	0.0	0.0	2.0	16.0	2.0	14.0	0.0	34.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Sorangium	1.0	4.0	9.0	0.0	4.0	16.0	0.0	34.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea	11.0	9.0	8.0	0.0	6.0	0.0	0.0	34.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella	0.0	0.0	0.0	31.0	1.0	0.0	0.0	32.0
Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.0	0.0	1.0	2.0	11.0	18.0	0.0	32.0
Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa	2.0	2.0	10.0	10.0	4.0	4.0	0.0	32.0
